estimator_type,lambda,est,gte,bias,bias_over_GTE,abs_bias_over_GTE,std,std_over_GTE,rmse,rmse_over_GTE
cr,0.1,0.03665999999999999,0.06024500000000002,-0.02358500000000002,-0.39148477052037534,0.39148477052037534,0.03125173772946252,0.5187440904550171,0.03902763924451492,0.6478154078266231
cr,1.0,0.042510000000000006,0.05842499999999984,-0.015914999999999832,-0.2724005134788169,0.2724005134788169,0.0400659796744411,0.6857677308419549,0.042924551541046935,0.7346949343782123
cr,10.0,0.05232000000000002,0.05658500000000011,-0.004265000000000099,-0.0753733321551664,0.0753733321551664,0.13066944029214572,2.3092593495121583,0.1300843873222302,2.2989199844875845
lr,0.1,0.5102499999999999,0.06024500000000002,0.45000500000000004,7.469582537969954,7.469582537969954,0.13916013412358055,2.309903462919421,0.4708252197206517,7.815175030635763
lr,1.0,0.5001399999999999,0.05842499999999984,0.4417150000000001,7.560376551133955,7.560376551133955,0.14527605348842498,2.4865392124677004,0.464764694899473,7.954894221642692
lr,10.0,10.7548,0.05658500000000011,10.698214999999998,189.06450472740084,189.06450472740084,1.2020057227716336,21.24247985811843,10.7648582789661,190.2422599446157
tsr_est_naive,0.1,0.07436991255693298,0.06024500000000002,0.014124912556932951,0.23445783976982232,0.23445783976982232,0.046120305957669826,0.7655457873295678,0.04801379958047254,0.7969756756655743
tsr_est_naive,1.0,0.3040126069503163,0.05842499999999984,0.24558760695031645,4.203467812585659,4.203467812585659,0.09536942077444324,1.6323392515950963,0.26328244499443443,4.506331963961235
tsr_est_naive,10.0,10.933156284141562,0.05658500000000011,10.876571284141567,192.21651116270294,192.21651116270294,1.3885158861308495,24.538585952652593,10.96396367658112,193.7609556698966
tsri_1.0,0.1,0.09185452953149092,0.06024500000000002,0.0316095295314909,0.5246830364593059,0.5246830364593059,0.06134394436694868,1.0182412543273078,0.06873580633550853,1.1409379423273054
tsri_1.0,1.0,0.3287550770727059,0.05842499999999984,0.2703300770727061,4.626958957170849,4.626958957170849,0.11764886658509296,2.013673369021708,0.29458647935844695,5.0421305837988495
tsri_1.0,10.0,10.933341790995199,0.05658500000000011,10.876756790995195,192.2197895377781,192.2197895377781,1.3884617445011032,24.537629133181948,10.964140916927498,193.76408795489047
tsri_2.0,0.1,0.10779554860928676,0.06024500000000002,0.047550548609286744,0.7892862247371023,0.7892862247371023,0.08478290149853361,1.4073018756499889,0.09683653058473901,1.6073787133328736
tsri_2.0,1.0,0.37119080211021827,0.05842499999999984,0.31276580211021854,5.353287156358055,5.353287156358055,0.15868729805035203,2.716085546433076,0.3503602274039455,5.996751859716671
tsri_2.0,10.0,10.933757259840263,0.05658500000000011,10.877172259840263,192.2271319225986,192.2271319225986,1.3884332372689288,24.537125338321573,10.964549500825287,193.77130866528702
mrd_direct,0.1,0.11022306974320864,0.06024500000000002,0.04997806974320858,0.82958037585208,0.82958037585208,0.1399909691948697,2.323694401109962,0.14798413494971271,2.4563720632369934
mrd_direct,1.0,0.15184146601732207,0.05842499999999984,0.09341646601732227,1.5989125548536163,1.5989125548536163,0.10250019313375433,1.7543892705820217,0.1383035170185411,2.367197552734985
mrd_direct,10.0,0.8021964626001784,0.05658500000000011,0.7456114626001801,13.17683949103435,13.17683949103435,32.433833393360985,573.187830579852,32.279869106853205,570.4668924070539
mrd_spillover_seller,0.1,0.24926435935210076,0.06024500000000002,0.18901935935210065,3.137511151997686,3.137511151997686,0.2675874322442183,4.441653784450464,0.32652001740472536,5.419869157684874
mrd_spillover_seller,1.0,0.2548640350394076,0.05842499999999984,0.19643903503940777,3.3622427905760945,3.3622427905760945,0.1551531548574719,2.655595290671328,0.24984009072768537,4.276253157512812
mrd_spillover_seller,10.0,10.131234286491805,0.05658500000000011,10.074649286491802,178.04452216120495,178.04452216120495,32.44726660692352,573.4252294234066,33.820044609727766,597.6856871914413
mrd_spillover_buyer,0.1,-0.06413328865536115,0.06024500000000002,-0.12437828865536117,-2.064541267414078,2.064541267414078,0.13206361739679598,2.192109177471922,0.1809318925407137,3.0032681972066335
mrd_spillover_buyer,1.0,-0.07237944624399689,0.05842499999999984,-0.13080444624399676,-2.238843752571624,2.238843752571624,0.08616492731247156,1.4747955038506084,0.15639678356339207,2.6768811906442878
mrd_spillover_buyer,10.0,-0.9795084941687233,0.05658500000000011,-1.0360934941687234,-18.310391343442987,18.310391343442987,18.08524409974259,319.6119837367245,18.024394118373586,318.53661073382614
mrd_avg,0.1,0.2953541404399482,0.06024500000000002,0.23510914043994816,3.9025502604356888,3.9025502604356888,0.2695194605984949,4.47372330647348,0.35663796792167524,5.919793641325838
mrd_avg,1.0,0.33432605481273275,0.05842499999999984,0.27590105481273297,4.722311592858087,4.722311592858087,0.15190274787947855,2.5999614527938206,0.3145871777615574,5.384461750304806
mrd_avg,10.0,9.95392225492326,0.05658500000000011,9.89733725492326,174.91097030879635,174.91097030879635,18.006778072783273,318.22529067391076,20.468485550585704,361.72988513891784
