estimator_type,lambda,est,gte,bias,bias_over_GTE,abs_bias_over_GTE,std,std_over_GTE,rmse,rmse_over_GTE
cr,0.1,0.042990000000000014,0.04593,-0.002939999999999998,-0.06401045068582623,0.06401045068582623,0.024215987289475525,0.5272368231978124,0.024273308385961725,0.5284848331365497
cr,1.0,0.04446,0.05946000000000001,-0.015000000000000008,-0.2522704339051464,0.2522704339051464,0.022163952898361972,0.3727540009815333,0.026670740522152743,0.448549285606336
cr,10.0,0.3988399999999999,0.5413350000000019,-0.14249500000000187,-0.2632288693692471,0.2632288693692471,0.12380448254804788,0.22870215771758234,0.1883589642809721,0.3479526804676798
lr,0.1,0.062010000000000016,0.04593,0.01608,0.3500979751796212,0.3500979751796212,0.024077524202400287,0.5242221685695686,0.028853011974488897,0.6281953401804681
lr,1.0,0.08847000000000001,0.05946000000000001,0.029009999999999984,0.4878910191725526,0.4878910191725526,0.03607272536351413,0.606672138639659,0.04614985590443376,0.7761496115780987
lr,10.0,9.120029999999998,0.5413350000000019,8.578694999999996,15.847294189365117,15.847294189365117,0.5756129004913989,1.0633210497961463,8.597791856757464,15.882571525501646
tsr_est_naive,0.1,0.04747415297654637,0.04593,0.0015441529765463724,0.033619703386596395,0.033619703386596395,0.023069660342836883,0.5022786924197014,0.023005902383203734,0.5008905374091821
tsr_est_naive,1.0,0.07853599175795985,0.05946000000000001,0.019075991757959834,0.3208205811967681,0.3208205811967681,0.027902020808805564,0.46925699308451996,0.033684284156155375,0.5665032653238373
tsr_est_naive,10.0,9.233843315535424,0.5413350000000019,8.692508315535422,16.05753981459797,16.05753981459797,0.57713054234688,1.0661245667597292,8.711455084079407,16.09253989503612
tsri_1.0,0.1,0.05009293261047459,0.04593,0.004162932610474595,0.09063646005823198,0.09063646005823198,0.02456568396878881,0.534850510968622,0.024794517710276527,0.5398327391743202
tsri_1.0,1.0,0.08113132443545946,0.05946000000000001,0.02167132443545946,0.36446896124217043,0.36446896124217043,0.03180065672652773,0.5348243647246506,0.0383512092813644,0.6449917470797913
tsri_1.0,10.0,9.233910376335087,0.5413350000000019,8.692575376335085,16.05766369500412,16.05766369500412,0.5772239667405186,1.0662971482363353,8.711528126911425,16.092674825960625
tsri_2.0,0.1,0.052408565347135054,0.04593,0.006478565347135046,0.14105302301622133,0.14105302301622133,0.03193043764743415,0.6951978586421543,0.03242420590901514,0.7059483106687381
tsri_2.0,1.0,0.08574952458388432,0.05946000000000001,0.02628952458388431,0.44213798492910034,0.44213798492910034,0.047749182447567685,0.8030471316442596,0.05429846851444018,0.9131932141681831
tsri_2.0,10.0,9.234107411872634,0.5413350000000019,8.69277241187263,16.05802767578782,16.05802767578782,0.5773611365855528,1.066550540027064,8.711733732606437,16.093054638267258
mrd_direct,0.1,0.054515347695114125,0.04593,0.00858534769511412,0.186922440564209,0.186922440564209,0.10447697025548637,2.274699983790254,0.10430719599181125,2.271003614017227
mrd_direct,1.0,0.06113828554259135,0.05946000000000001,0.0016782855425913346,0.02822545480308332,0.02822545480308332,0.06557231538109304,1.1027970968902292,0.06526521203026638,1.0976322238524447
mrd_direct,10.0,3.5078151179357304,0.5413350000000019,2.9664801179357276,5.47993408505956,5.47993408505956,23.93434640881123,44.21355797946031,23.998425217645288,44.33192979882181
mrd_spillover_seller,0.1,0.038375263619475936,0.04593,-0.007554736380524067,-0.16448370086052835,0.16448370086052835,0.07504494313842834,1.6338981741438785,0.07504998399415323,1.634007924976121
mrd_spillover_seller,1.0,0.03053632891624807,0.05946000000000001,-0.02892367108375195,-0.4864391369618558,0.4864391369618558,0.06004136165309656,1.009777357098832,0.06637389703059045,1.1162781202588368
mrd_spillover_seller,10.0,5.726221118451624,0.5413350000000019,5.1848861184516215,9.577962109325286,9.577962109325286,23.9695904728252,44.278663808593784,24.406533937081594,45.08582289540028
mrd_spillover_buyer,0.1,-0.011482656202958998,0.04593,-0.057412656202958996,-1.25000340089177,1.25000340089177,0.09823689394086148,2.1388394065068903,0.11335870301884965,2.4680753977541836
mrd_spillover_buyer,1.0,-0.01067687431012933,0.05946000000000001,-0.07013687431012934,-1.1795639809978022,1.1795639809978022,0.049506530200810195,0.8326022569931077,0.08570629326480861,1.441410919354332
mrd_spillover_buyer,10.0,-1.3860275458622104,0.5413350000000019,-1.9273625458622121,-3.5603878298321843,3.5603878298321843,14.668079494944188,27.096122539544158,14.721268861497455,27.19437845603444
mrd_avg,0.1,0.08140795511163106,0.04593,0.03547795511163105,0.7724353388119105,0.7724353388119105,0.0753693215730984,1.640960626455441,0.08296031935177284,1.806233819981991
mrd_avg,1.0,0.0809977401487101,0.05946000000000001,0.021537740148710065,0.36222233684342514,0.36222233684342514,0.0492338584591211,0.8280164557538023,0.05351268392912469,0.8999778662819489
mrd_avg,10.0,7.848008690525144,0.5413350000000019,7.30667369052514,13.49750836455266,13.49750836455266,14.724729581474481,27.20077139197434,16.371834504871057,30.2434435328789
